homework	exam
43.29959514	18.60465116
49.60526316	20.93023256
10.76923077	24.16666667
71.35971787	31.3253012
58.83333333	33.96226415
0	34.30232558
9.431818182	34.93975904
15.68181818	37.95180723
13.0058651	39.75903614
56.45376176	39.75903614
3.076923077	40
20.33333333	40.56603774
38.08704453	45.93023256
23.46153846	47.09302326
9.090909091	48.19277108
68.57404692	49.39759036
64.90890688	49.41860465
0	50
60.83333333	50.94339623
62.83333333	51.88679245
62.33333333	52.83018868
100	54.21686747
73.91700405	55.23255814
99.03846154	55.81395349
99.03846154	55.81395349
91.75675676	56.25
15.64516129	58.43373494
0	59.03614458
99.23076923	59.16666667
60.66666667	59.43396226
59.41295547	60.46511628
0	60.84337349
0	61.32075472
100	61.32075472
100	61.62790698
11.16666667	62.26415094
97.54702194	63.85542169
100	65.11627907
73.2523511	65.6626506
85.79959514	68.60465116
83.84615385	68.60465116
99.03846154	69.18604651
91.69354839	69.27710843
99.34210526	69.76744186
100	69.81132075
20.96153846	70.34883721
100	71.51162791
100	72.64150943
85.16666667	72.64150943
43.84615385	73.25581395
100	73.4939759
100	73.58490566
100	73.8372093
79.72972973	74.16666667
100	74.52830189
54.5	74.52830189
96.15384615	75.41666667
51.31578947	75.58139535
94.23076923	76.25
86.5	76.41509434
86.83333333	76.41509434
81.38663968	76.74418605
100	76.74418605
72.30769231	77.08333333
1.935483871	77.10843373
100	77.3255814
90.83333333	77.35849057
100	77.71084337
80.85020243	77.90697674
0	78.30188679
41.61656891	78.31325301
100	78.48837209
17.83783784	78.75
100	79.16666667
42.83333333	79.24528302
96.66666667	79.24528302
100	79.24528302
100	80
31.66422287	80.12048193
68.66666667	80.18867925
78	81.13207547
98.5	81.13207547
100	81.25
100	81.3253012
100	81.39534884
62.5	81.92771084
81.05015674	81.92771084
100	83.01886792
100	83.13953488
91.7611336	83.13953488
92.18295218	83.75
91.71052632	84.88372093
90.79937304	84.93975904
72.7962578	85
77.25073314	85.54216867
84	85.8490566
98.07692308	86.04651163
84.36583578	86.14457831
98.28947368	86.62790698
100	86.66666667
97.5	86.79245283
100	87.08333333
84	87.73584906
94.66666667	87.73584906
66.43724696	87.79069767
100	87.95180723
7.954545455	87.95180723
100	88.33333333
100	88.67924528
75.38461538	89.16666667
100	89.58333333
87.93103448	89.75903614
98.07692308	90.11627907
61.89655172	90.36144578
96.23824451	90.36144578
0	90.41666667
97.7027027	90.83333333
95.16666667	91.50943396
100	91.50943396
100	91.66666667
100	92.1686747
98.86363636	92.1686747
98.02631579	92.44186047
90.42619543	92.5
97.82915361	92.77108434
98.64864865	92.91666667
100	93.33333333
90.03118503	93.33333333
100	93.33333333
97.15517241	93.97590361
100	94.16666667
100	94.16666667
99.20454545	95.18072289
95	95.28301887
100	95.41666667
100	95.83333333
45.83333333	96.22641509
100	96.22641509
64	96.22641509
100	96.22641509
97.77821317	96.38554217
98.13416422	96.98795181
99.31818182	96.98795181
100	97.08333333
74.83333333	97.16981132
96.16666667	97.16981132
99.66666667	97.16981132
98.33333333	97.16981132
98.27586207	97.59036145
100	97.59036145
97.66666667	98.11320755
98.33333333	100
98.66666667	100
99	100
0	98.50746269
0	88.88888889
0	86.66666667
0	85.07462687
0	82.85714286
0	82.85714286
0	70.96774194
0	67.77777778
0	65.55555556
0	64.44444444
0	57.14285714
0	53.73134328
0	48.57142857
0	40.29850746
0	36.11111111
0	30.55555556
0	21.11111111
6.333333333	75.55555556
6.930693069	66.66666667
13.33333333	77.77777778
16.93069307	29.62962963
23	49.52380952
26	86.66666667
28.94736842	56.71641791
30.2	74.28571429
34	75.23809524
34.65346535	49.07407407
38	51.11111111
38.15789474	83.58208955
40.52631579	59.70149254
41.78217822	88.88888889
42.6	70.47619048
43.06930693	73.14814815
46.16666667	72.22222222
47	67.61904762
47.6	80
47.89473684	72.13114754
49.5049505	80.55555556
49.83333333	72.22222222
56.2	65.71428571
57.52475248	81.48148148
58.83333333	80
59.33333333	55.55555556
60.79207921	59.25925926
61.05263158	92.53731343
62.2	88.57142857
63.66336634	68.51851852
64.66666667	64.44444444
64.85148515	56.48148148
65.04950495	45.37037037
65.16666667	65.55555556
66.84210526	61.19402985
66.93069307	68.51851852
68	57.77777778
69.8019802	66.66666667
70.33333333	84.44444444
72.27722772	74.07407407
72.57425743	72.22222222
74.21052632	79.10447761
76.03960396	70.37037037
76.31578947	68.65671642
77.4	86.66666667
78.42105263	77.6119403
78.68421053	83.58208955
80	53.73134328
81.48514851	59.25925926
81.68316832	72.22222222
85.2	81.9047619
85.26315789	82.08955224
86.33663366	74.07407407
86.66666667	84.44444444
86.66666667	77.77777778
87.6	86.66666667
87.89473684	74.62686567
88.5	80
